moved_to,original
"Gym and Fitness\GYM-00 Gym floor, others in frame DJI_20260904080736_0985_D.MP4",DJI_20260904080736_0985_D.MP4
Keyboard and hands\KEY-04 Mouse hand DJI_20260908161600_0997_D.MP4,DJI_20260908161600_0997_D.MP4
"Desk and Setup\DSK-01 Setup wide, empty DJI_20260908161656_0992_D.MP4",DJI_20260908161656_0992_D.MP4
"Desk and Setup\DSK-01 Setup wide, empty 2 DJI_20260908161710_0993_D.MP4",DJI_20260908161710_0993_D.MP4
Desk and Setup\DSK-06 Pan across setup DJI_20260908161721_0994_D.MP4,DJI_20260908161721_0994_D.MP4
Desk and Setup\DSK-06 Pan across monitor and timeline DJI_20260908161815_0996_D.MP4,DJI_20260908161815_0996_D.MP4
Desk and Setup\DSK-04 Side profile working DJI_20260908161917_0998_D.MP4,DJI_20260908161917_0998_D.MP4
Editing\EDT-01 Timeline with hand on mouse DJI_20260908162030_0999_D.MP4,DJI_20260908162030_0999_D.MP4
"Desk and Setup\DSK-04 Side profile thinking, hand on chin DJI_20260908162149_0001_D.MP4",DJI_20260908162149_0001_D.MP4
"Keyboard and hands\KEY-03 Keyboard low side, typing DJI_20260908162240_0002_D.MP4",DJI_20260908162240_0002_D.MP4
"Keyboard and hands\KEY-03 Keyboard low side, typing 2 DJI_20260908162318_0003_D.MP4",DJI_20260908162318_0003_D.MP4
Face and Reaction\FCE-01 Staring at the screen DJI_20260908162426_0004_D.MP4,DJI_20260908162426_0004_D.MP4
Face and Reaction\FCE-01 Looking over the monitor DJI_20260908162634_0005_D.MP4,DJI_20260908162634_0005_D.MP4
"Face and Reaction\FCE-01 Mid shot thinking, front DJI_20260908162655_0006_D.MP4",DJI_20260908162655_0006_D.MP4
"Face and Reaction\FCE-01 Close up, hand over mouth DJI_20260908162719_0007_D.MP4",DJI_20260908162719_0007_D.MP4
Keyboard and hands\KEY-01 Typing top-down DJI_20260908162841_0009_D.MP4,DJI_20260908162841_0009_D.MP4
Editing\EDT-05 Render queue DJI_20260908163049_0010_D.MP4,DJI_20260908163049_0010_D.MP4
Editing\EDT-01 Timeline close DJI_20260908163156_0011_D.MP4,DJI_20260908163156_0011_D.MP4
Desk and Setup\DSK-03 Over-the-shoulder wide DJI_20260908163319_0012_D.MP4,DJI_20260908163319_0012_D.MP4
Desk and Setup\DSK-03 Over-the-shoulder close DJI_20260908163410_0013_D.MP4,DJI_20260908163410_0013_D.MP4
"Face and Reaction\FCE-01 Side face, fist on chin DJI_20260908163537_0014_D.MP4",DJI_20260908163537_0014_D.MP4
Editing\EDT-02 Headphones on DJI_20260908163644_0015_D.MP4,DJI_20260908163644_0015_D.MP4
Face and Reaction\FCE-02 Rubbing eyes behind monitor DJI_20260908163747_0016_D.MP4,DJI_20260908163747_0016_D.MP4
Face and Reaction\FCE-09 Hands over face DJI_20260908163951_0017_D.MP4,DJI_20260908163951_0017_D.MP4
Keyboard and hands\KEY-10 Hand grabs the mouse DJI_20260908164100_0018_D.MP4,DJI_20260908164100_0018_D.MP4
Water\WTR-02 Drinking at the desk DJI_20260908164154_0019_D.MP4,DJI_20260908164154_0019_D.MP4
"Desk and Setup\DSK-13 Stretching arms overhead, from behind DJI_20260908164254_0020_D.MP4",DJI_20260908164254_0020_D.MP4
Desk and Setup\DSK-13 Stretching arms overhead 2 DJI_20260908164347_0021_D.MP4,DJI_20260908164347_0021_D.MP4
"Phone and Chat\PHN-06 On phone at desk, wide DJI_20260908164423_0022_D.MP4",DJI_20260908164423_0022_D.MP4
Phone and Chat\PHN-01 Phone on desk beside journal DJI_20260908164553_0024_D.MP4,DJI_20260908164553_0024_D.MP4
Phone and Chat\PHN-06 Phone screen close DJI_20260908164609_0025_D.MP4,DJI_20260908164609_0025_D.MP4
Room and atmosphere\ROM-09 Standing at the window DJI_20260908164728_0026_D.MP4,DJI_20260908164728_0026_D.MP4
Bed\BED-06 Lying on bed thinking DJI_20260908165120_0027_D.MP4,DJI_20260908165120_0027_D.MP4
"Bed\BED-06 Lying on bed, close DJI_20260908165218_0028_D.MP4",DJI_20260908165218_0028_D.MP4
Desk and Setup\DSK-11 Getting up from desk DJI_20260908165351_0029_D.MP4,DJI_20260908165351_0029_D.MP4
Room and atmosphere\ROM-08 Sitting on the floor by the wall DJI_20260908165510_0030_D.MP4,DJI_20260908165510_0030_D.MP4
"Desk and Setup\DSK-02 Sitting down into chair, whiteboard behind DJI_20260908165631_0031_D.MP4",DJI_20260908165631_0031_D.MP4
Keyboard and hands\KEY-09 Stretch before starting DJI_20260908165752_0032_D.MP4,DJI_20260908165752_0032_D.MP4
"Phone and Chat\PHN-05 Phone in hands, front DJI_20260908165832_0033_D.MP4",DJI_20260908165832_0033_D.MP4
"Phone and Chat\PHN-06 Phone close, hand over mouth DJI_20260908165856_0034_D.MP4",DJI_20260908165856_0034_D.MP4
Journal\JRN-01 Opening the journal DJI_20260908165938_0035_D.MP4,DJI_20260908165938_0035_D.MP4
Journal\JRN-02 Writing in the journal DJI_20260908170014_0036_D.MP4,DJI_20260908170014_0036_D.MP4
Journal\JRN-02 Writing close DJI_20260908170051_0037_D.MP4,DJI_20260908170051_0037_D.MP4
Face and Reaction\FCE-06 Quiet smile close DJI_20260908170132_0038_D.MP4,DJI_20260908170132_0038_D.MP4
Phone and Chat\PHN-03 Pacing with phone DJI_20260908170212_0039_D.MP4,DJI_20260908170212_0039_D.MP4
"Gym and Fitness\GYM-00 Dumbbell press, long DJI_20260908172831_0040_D.MP4",DJI_20260908172831_0040_D.MP4
Gym and Fitness\GYM-00 Dumbbell press DJI_20260908173324_0041_D.MP4,DJI_20260908173324_0041_D.MP4
Gym and Fitness\GYM-00 Dumbbell press 2 DJI_20260908173437_0042_D.MP4,DJI_20260908173437_0042_D.MP4
Gym and Fitness\GYM-00 Smith machine DJI_20260908173549_0043_D.MP4,DJI_20260908173549_0043_D.MP4
Gym and Fitness\GYM-00 Resting between sets DJI_20260908174027_0044_D.MP4,DJI_20260908174027_0044_D.MP4
Gym and Fitness\GYM-00 Dumbbell curl DJI_20260908174111_0045_D.MP4,DJI_20260908174111_0045_D.MP4
_to_delete\DJI_20260908174325_0046_D.MP4,DJI_20260908174325_0046_D.MP4
Gym and Fitness\GYM-00 Dumbbell row DJI_20260908174332_0047_D.MP4,DJI_20260908174332_0047_D.MP4
Gym and Fitness\GYM-00 Dumbbell row 2 DJI_20260908174459_0048_D.MP4,DJI_20260908174459_0048_D.MP4
"Gym and Fitness\GYM-00 Gym session, long DJI_20260908174647_0049_D.MP4",DJI_20260908174647_0049_D.MP4
"Gym and Fitness\GYM-00 Gym floor wide, others in frame DJI_20260908175013_0050_D.MP4",DJI_20260908175013_0050_D.MP4
Gym and Fitness\GYM-00 Machine press DJI_20260908175259_0051_D.MP4,DJI_20260908175259_0051_D.MP4
Gym and Fitness\GYM-00 Machine press 2 DJI_20260908175507_0052_D.MP4,DJI_20260908175507_0052_D.MP4
Gym and Fitness\GYM-00 Dumbbell shrugs DJI_20260908180100_0053_D.MP4,DJI_20260908180100_0053_D.MP4
Gym and Fitness\GYM-00 Gym mirror selfie 3 DJI_20260908180529_0054_D.MP4,DJI_20260908180529_0054_D.MP4
"Gym and Fitness\GYM-00 Gym floor, others in frame 2 DJI_20260908180548_0055_D.MP4",DJI_20260908180548_0055_D.MP4
"Gym and Fitness\GYM-00 Gym selfie, talking DJI_20260908180616_0056_D.MP4",DJI_20260908180616_0056_D.MP4
Editing\EDT-00 Opening DaVinci Resolve DJI_20260914193216_0147_D.MP4,DJI_20260914193216_0147_D.MP4
"Editing\EDT-00 Resolve splash, short DJI_20260914193304_0148_D.MP4",DJI_20260914193304_0148_D.MP4
Editing\EDT-00 Resolve splash and project manager DJI_20260914193307_0149_D.MP4,DJI_20260914193307_0149_D.MP4
Editing\EDT-00 Resolve splash and project manager 2 DJI_20260914193413_0151_D.MP4,DJI_20260914193413_0151_D.MP4
Face and Reaction\FCE-01 Close up looking down DJI_20260914193635_0152_D.MP4,DJI_20260914193635_0152_D.MP4
Desk and Setup\DSK-09 Monitor glow on face DJI_20260914193721_0153_D.MP4,DJI_20260914193721_0153_D.MP4
"Desk and Setup\DSK-02 Sitting down into chair, wide DJI_20260914193852_0154_D.MP4",DJI_20260914193852_0154_D.MP4
Editing\EDT-01 Timeline with mouse DJI_20260914194043_0155_D.MP4,DJI_20260914194043_0155_D.MP4
Editing\EDT-01 Timeline close 2 DJI_20260914194155_0156_D.MP4,DJI_20260914194155_0156_D.MP4
Desk and Setup\DSK-04 Side profile working 2 DJI_20260914194417_0157_D.MP4,DJI_20260914194417_0157_D.MP4
Keyboard and hands\KEY-03 Keyboard low side 3 DJI_20260914194654_0158_D.MP4,DJI_20260914194654_0158_D.MP4
Keyboard and hands\KEY-01 Typing close DJI_20260914194808_0159_D.MP4,DJI_20260914194808_0159_D.MP4
Desk and Setup\DSK-03 Over-the-shoulder side DJI_20260914195016_0160_D.MP4,DJI_20260914195016_0160_D.MP4
Editing\EDT-04 Fusion node graph DJI_20260914195138_0161_D.MP4,DJI_20260914195138_0161_D.MP4
Research\RES-00 Google search DJI_20260914195400_0162_D.MP4,DJI_20260914195400_0162_D.MP4
Research\RES-00 Searching best video editing software DJI_20260914195446_0163_D.MP4,DJI_20260914195446_0163_D.MP4
Research\RES-00 Adobe Premiere page DJI_20260914195603_0164_D.MP4,DJI_20260914195603_0164_D.MP4
Research\RES-00 Adobe pricing DJI_20260914195821_0165_D.MP4,DJI_20260914195821_0165_D.MP4
Research\RES-00 Adobe pricing 2 DJI_20260914195956_0166_D.MP4,DJI_20260914195956_0166_D.MP4
"Face and Reaction\FCE-01 Thinking, hand on head DJI_20260914200137_0167_D.MP4",DJI_20260914200137_0167_D.MP4
Desk and Setup\DSK-07 Top-down of desk 5 DJI_20260914200331_0168_D.MP4,DJI_20260914200331_0168_D.MP4
"Research\RES-04 Over-the-shoulder, CapCut on screen DJI_20260914200530_0169_D.MP4",DJI_20260914200530_0169_D.MP4
Research\RES-00 Editing software website DJI_20260914200712_0170_D.MP4,DJI_20260914200712_0170_D.MP4
Research\RES-00 All in one solution page DJI_20260914200821_0171_D.MP4,DJI_20260914200821_0171_D.MP4
Whiteboard and Planning\WHB-00 At the whiteboard DJI_20260914200922_0172_D.MP4,DJI_20260914200922_0172_D.MP4
"Research\RES-04 Browsing, over-the-shoulder DJI_20260914201230_0173_D.MP4",DJI_20260914201230_0173_D.MP4
"Face and Reaction\FCE-03 Slumped in chair, high angle DJI_20260914201441_0174_D.MP4",DJI_20260914201441_0174_D.MP4
Phone and Chat\PHN-06 Reclined in chair on phone DJI_20260914201520_0175_D.MP4,DJI_20260914201520_0175_D.MP4
Face and Reaction\FCE-09 Head down on keyboard DJI_20260914201634_0176_D.MP4,DJI_20260914201634_0176_D.MP4
"Bed\BED-06 Lying down, staring DJI_20260914201840_0177_D.MP4",DJI_20260914201840_0177_D.MP4
"Bed\BED-06 Lying down, close DJI_20260914201920_0178_D.MP4",DJI_20260914201920_0178_D.MP4
"Bed\BED-06 Lying down, setup behind DJI_20260914202017_0179_D.MP4",DJI_20260914202017_0179_D.MP4
Room and atmosphere\ROM-01 Dark wide room DJI_20260914202103_0180_D.MP4,DJI_20260914202103_0180_D.MP4
"Desk and Setup\DSK-05 Push-in to desk, dark DJI_20260914202228_0181_D.MP4",DJI_20260914202228_0181_D.MP4
Face and Reaction\FCE-01 Close up face DJI_20260914202336_0182_D.MP4,DJI_20260914202336_0182_D.MP4
"Editing\EDT-00 Screen close, unclear DJI_20260914202512_0183_D.MP4",DJI_20260914202512_0183_D.MP4
"Desk and Setup\DSK-04 Side wide working, long DJI_20260914202658_0184_D.MP4",DJI_20260914202658_0184_D.MP4
Research\RES-02 Reading Ingest and Organize Media DJI_20260914203044_0185_D.MP4,DJI_20260914203044_0185_D.MP4
"Desk and Setup\DSK-09 Monitor glow on glasses, hand over mouth DJI_20260914203202_0186_D.MP4",DJI_20260914203202_0186_D.MP4
"Journal\JRN-04 Writing at desk, high angle DJI_20260914203347_0187_D.MP4",DJI_20260914203347_0187_D.MP4
Research\RES-04 Scrolling a feed on the monitor DJI_20260914204127_0188_D.MP4,DJI_20260914204127_0188_D.MP4
Phone and Chat\PHN-09 Hitting post DJI_20260914204305_0189_D.MP4,DJI_20260914204305_0189_D.MP4
Phone and Chat\PHN-07 Smiling at the phone DJI_20260914204339_0190_D.MP4,DJI_20260914204339_0190_D.MP4
"Desk and Setup\DSK-01 Setup wide, dark DJI_20260914204432_0191_D.MP4",DJI_20260914204432_0191_D.MP4
"Room and atmosphere\ROM-01 Wide room with ring light, on phone DJI_20260914204544_0192_D.MP4",DJI_20260914204544_0192_D.MP4
Room and atmosphere\ROM-08 Lying on the floor by the guitar DJI_20260914204653_0193_D.MP4,DJI_20260914204653_0193_D.MP4
Face and Reaction\FCE-03 Leaning back in chair DJI_20260914204731_0194_D.MP4,DJI_20260914204731_0194_D.MP4
Desk and Setup\DSK-04 Side profile working 3 DJI_20260914204908_0195_D.MP4,DJI_20260914204908_0195_D.MP4
Unsorted\UNS At desk holding something small DJI_20260914205014_0196_D.MP4,DJI_20260914205014_0196_D.MP4
Journal\JRN-02 Writing in notebook close DJI_20260914205124_0197_D.MP4,DJI_20260914205124_0197_D.MP4
